STT,Lat1,Lon1,Land_Cost,Unit
184,10.816325,106.7786924,56000000,TP Thủ Đức
185,10.8074374,106.7778806,81700000,TP Thủ Đức
186,10.8339066,106.7531619,163000000,TP Thủ Đức
187,10.8066188,106.7891761,70000000,TP Thủ Đức
188,10.8128147,106.7849449,163000000,TP Thủ Đức
189,10.8204837,106.7788366,70000000,TP Thủ Đức
190,10.8111464,106.7859178,163000000,TP Thủ Đức
191,10.8241228,106.7711003,81700000,TP Thủ Đức
192,10.8516822,106.7946386,85000000,TP Thủ Đức
193,10.8140625,106.8286875,70000000,TP Thủ Đức
194,10.8638633,106.8101424,56000000,TP Thủ Đức
195,10.8439942,106.7626205,80000000,TP Thủ Đức
196,10.8637598,106.7347406,79000000,TP Thủ Đức
197,10.8494094,106.7537055,45800000,TP Thủ Đức
198,10.8670131,106.7378441,80000000,TP Thủ Đức
199,10.8246622,106.717276,54000000,TP Thủ Đức
200,10.8379926,106.7301115,50000000,TP Thủ Đức
201,10.8260603,106.723013,95000000,TP Thủ Đức
202,10.8259017,106.7292192,36000000,TP Thủ Đức
203,10.8240064,106.7195821,62000000,TP Thủ Đức
204,10.8233625,106.7207656,88000000,TP Thủ Đức
205,10.8607039,106.7794062,38000000,TP Thủ Đức
206,10.8607626,106.7800115,81000000,TP Thủ Đức
207,10.8735011,106.7630697,64000000,TP Thủ Đức
208,10.862941,106.7592541,163000000,TP Thủ Đức
209,10.8646577,106.7592607,87000000,TP Thủ Đức
210,10.8877681,106.7231444,90000000,TP Thủ Đức
211,10.8752894,106.748583,64000000,TP Thủ Đức
212,10.8772594,106.7229542,45000000,TP Thủ Đức
213,10.8363086,106.755647,45400000,TP Thủ Đức
214,10.8372731,106.7632813,90000000,TP Thủ Đức
215,10.8469554,106.7543798,76000000,TP Thủ Đức
216,10.8404825,106.7538624,45000000,TP Thủ Đức
217,10.8671528,106.7379845,80000000,TP Thủ Đức
218,10.8598629,106.738899,60000000,TP Thủ Đức
219,10.8609381,106.738714,60000000,TP Thủ Đức
220,10.8338793,106.7617638,44000000,TP Thủ Đức
221,10.7931669,106.7393566,98000000,TP Thủ Đức
222,10.7689024,106.7863722,56000000,TP Thủ Đức
223,10.7670802,106.7787194,81700000,TP Thủ Đức
224,10.7689458,106.7895824,58000000,TP Thủ Đức
225,10.8165467,106.7875467,163000000,TP Thủ Đức
226,10.7874223,106.7649354,81700000,TP Thủ Đức
227,10.801913,106.764748,75000000,TP Thủ Đức
228,10.7907461,106.7471632,149000000,TP Thủ Đức
229,10.8244236,106.8001109,163000000,TP Thủ Đức
230,10.8035198,106.7983857,70000000,TP Thủ Đức
231,10.7994878,106.7926046,81700000,TP Thủ Đức
232,10.7771512,106.755165,96000000,TP Thủ Đức
233,10.7977712,106.8012009,56000000,TP Thủ Đức
234,10.7847389,106.7904131,70000000,TP Thủ Đức
235,10.8156567,106.7837636,163000000,TP Thủ Đức
236,10.8084103,106.8008051,56000000,TP Thủ Đức
237,10.7866952,106.8065155,52000000,TP Thủ Đức
238,10.8442538,106.7400236,44000000,TP Thủ Đức
239,10.8427238,106.7093918,88000000,TP Thủ Đức
240,10.8704375,106.7175625,88000000,TP Thủ Đức
241,10.8394441,106.7624528,44000000,TP Thủ Đức
242,10.8080625,106.7936875,70000000,TP Thủ Đức
243,10.789415,106.7548751,81700000,TP Thủ Đức
244,10.7967218,106.7449223,98000000,TP Thủ Đức
245,10.6987425,106.6093284,90000000,TP Thủ Đức
246,10.8015082,106.7946428,163000000,TP Thủ Đức
247,10.8579592,106.775565,163000000,TP Thủ Đức
248,10.8151299,106.7781204,81700000,TP Thủ Đức
249,10.7767464,106.7572866,96000000,TP Thủ Đức
250,10.7711125,106.7862969,46000000,TP Thủ Đức
251,10.8740375,106.6739844,60200000,Quận 12
252,10.7915217,106.6880446,193500000,Quận một
253,10.7937869,106.6864603,132000000,Quận một
254,10.7876074,106.698745,330000000,Quận một
255,10.786924,106.711273,528000000,Quận một
256,10.7687916,106.6971722,242000000,Quận một
257,10.7770591,106.7065429,528000000,Quận một
258,10.7789834,106.7071898,528000000,Quận một
259,10.7783124,106.7041839,286000000,Quận một
260,10.7781321,106.7018932,579500000,Quận một
261,10.7796631,106.6955005,385000000,Quận một
262,10.7759082,106.7006517,550000000,Quận một
263,10.7802242,106.6957904,348000000,Quận một
264,10.7689617,106.6970826,283500000,Quận một
265,10.7706218,106.6990993,256000000,Quận một
266,10.7829214,106.692345,420000000,Quận 3
267,10.7763,106.6885908,240000000,Quận 3
268,10.7684037,106.6936397,182500000,Quận một
269,10.7784059,106.6901339,330000000,Quận 3
270,10.7821609,106.6966866,380000000,Quận 3
271,10.7874767,106.6852371,280000000,Quận 3
272,10.7813668,106.6892362,330000000,Quận 3
273,10.7863377,106.6756545,210000000,Quận 3
274,10.7884668,106.6761484,260000000,Quận 3
275,10.7805796,106.6789248,217000000,Quận 3
276,10.7835832,106.6825035,290000000,Quận 3
277,10.7835626,106.682545,290000000,Quận 3
278,10.7550862,106.6900213,202300000,Quận 4
279,10.7549049,106.6920479,128800000,Quận 4
280,10.7624926,106.7026681,203400000,Quận 4
281,10.7550937,106.718353,232800000,Quận 4
282,10.7660519,106.7027534,271200000,Quận 4
