Unit,Name,,Type,Value,x coordinate,y coordinate,Existing demand
Huyện Hóc Môn,Bãi đỗ xe YOGA Ngọc Nguyên,60,60 kW DC,2,10.907326,106.6267102,24
Huyện Hóc Môn,Bãi đỗ xe 380 Huỳnh Thị Na,11,11 Kw AC,5,10.8970675,106.6292274,11
Huyện Hóc Môn,Bãi đỗ xe 380 Huỳnh Thị Na,60,60 kW DC,4,10.8970675,106.6292274,48
Huyện Hóc Môn,Bãi đỗ xe Thuỳ Trâm,11,11 Kw AC,5,10.8997608,106.64548,11
Huyện Hóc Môn,Bãi đỗ xe Nhị Bình 04 - Số 330/05/04 Ấp 1,11,11 Kw AC,2,10.9108446,106.6624051,4.4
Huyện Hóc Môn,Bãi đỗ xe Nhị Bình 04 - Số 330/05/04 Ấp 1,60,60 kW DC,6,10.9108446,106.6624051,72
Huyện Hóc Môn,Bãi đỗ xe tư nhân Nhị Bình 08,11,11 Kw AC,4,10.9145295,106.6727274,8.8
Huyện Hóc Môn,Bãi đỗ xe tư nhân Nhị Bình 08,60,60 kW DC,6,10.9145295,106.6727274,72
Huyện Hóc Môn,Bãi đỗ xe Nhị Bình 15 - Số 319 Nhị Bình,11,11 Kw AC,2,10.9041726,106.6720359,4.4
Huyện Hóc Môn,Bãi đỗ xe Nhị Bình 15 - Số 319 Nhị Bình,60,60 kW DC,4,10.9041726,106.6720359,48
Huyện Hóc Môn,Bãi đỗ xe tư nhân Cường Thảo II,11,11 Kw AC,6,10.9041727,106.672036,13.2
Huyện Hóc Môn,Bãi đỗ xe tư nhân Cường Thảo II,60,60 kW DC,12,10.9041727,106.672036,144
Huyện Hóc Môn,Bãi đỗ xe Cà Phê Gia Long,11,11 Kw AC,4,10.9064097,106.688944,8.8
Huyện Hóc Môn,Bãi đỗ xe Cà Phê Gia Long,60,60 kW DC,6,10.9064097,106.688944,72
Huyện Hóc Môn,Bãi đỗ xe tư nhân Chị Diễm 2,11,11 Kw AC,4,10.9109363,106.6510346,8.8
Huyện Hóc Môn,Bãi đỗ xe tư nhân Chị Diễm 2,60,60 kW DC,8,10.9109363,106.6510346,96
Huyện Hóc Môn,Bãi đỗ xe Bùi Công Trừng,11,11 Kw AC,4,10.913259,106.673344,8.8
Huyện Hóc Môn,Bãi đỗ xe Bùi Công Trừng,80,80 kW DC,6,10.913259,106.673344,96
Huyện Hóc Môn,Bãi đỗ xe tư nhân Bà Điểm,80,60 kW DC,4,10.8411638,106.5967126,64
Huyện Nhà Bè,Bãi đỗ xe Trường Tín,80,11 Kw AC,1,10.6337632,106.735316,16
Huyện Nhà Bè,Bãi đỗ xe Trường Tín,80,60 kW DC,4,10.6337632,106.735316,64
