Unit,Type,Value,Column,Row,x coordinate,y coordinate
Quận Bình Tân,x3 value,6.0,64,4,10.8155957,106.5825178
Quận Bình Tân,x3 value,6.0,72,4,10.804952,106.5879298
Quận Bình Tân,x3 value,3.0,100,4,10.7639744,106.5793183
Quận Bình Tân,x3 value,6.0,117,4,10.8195727,106.5865133
Quận Bình Tân,x3 value,6.0,121,4,10.8024673,106.5829688
Quận Bình Tân,x3 value,6.0,138,4,10.7604482,106.5784568
Quận Bình Tân,x3 value,6.0,151,4,10.8186586,106.5856602
Huyện Củ Chi,x2 value,6.0,2,2,11.009036,106.4178693
Huyện Củ Chi,x3 value,6.0,2,2,11.009036,106.4178693
Huyện Củ Chi,x2 value,6.0,10,2,11.0090534,106.4181286
Huyện Củ Chi,x3 value,6.0,10,2,11.0090534,106.4181286
Huyện Củ Chi,x2 value,5.0,18,2,11.0026284,106.4241525
Huyện Củ Chi,x2 value,6.0,59,2,11.1549818,106.4549448
Huyện Củ Chi,x3 value,1.0,59,2,11.1549818,106.4549448
Huyện Củ Chi,x2 value,6.0,75,2,10.9920425,106.3862789
Huyện Củ Chi,x3 value,6.0,75,2,10.9920425,106.3862789
Huyện Hóc Môn,x2 value,4.0,6,3,10.9015945,106.5744053
Huyện Hóc Môn,x2 value,6.0,15,3,10.9108436,106.5686679
Huyện Hóc Môn,x3 value,6.0,15,3,10.9108436,106.5686679
Huyện Hóc Môn,x2 value,6.0,27,3,10.8895256,106.5694336
Huyện Hóc Môn,x3 value,6.0,27,3,10.8895256,106.5694336
Huyện Hóc Môn,x2 value,6.0,31,3,10.8704993,106.5634316
Huyện Hóc Môn,x3 value,6.0,31,3,10.8704993,106.5634316
Huyện Bình Chánh,x3 value,1.0,29,8,10.8051708,106.5657768
Huyện Bình Chánh,x3 value,6.0,36,8,10.7435986,106.5421959
Huyện Bình Chánh,x2 value,6.0,39,8,10.787695,106.517138
Huyện Bình Chánh,x3 value,6.0,39,8,10.787695,106.517138
Huyện Bình Chánh,x2 value,6.0,42,8,10.778148,106.5369576
Huyện Bình Chánh,x3 value,6.0,42,8,10.778148,106.5369576
Huyện Bình Chánh,x2 value,6.0,67,8,10.774938,106.543063
Huyện Bình Chánh,x3 value,6.0,67,8,10.774938,106.543063
Huyện Bình Chánh,x3 value,6.0,70,8,10.7448045,106.5396327
Huyện Nhà Bè,x2 value,6.0,7,6,10.7111829,106.6876195
Huyện Nhà Bè,x3 value,6.0,7,6,10.7111829,106.6876195
Huyện Nhà Bè,x2 value,2.0,50,6,10.7225084,106.6950241
Huyện Nhà Bè,x3 value,2.0,50,6,10.7225084,106.6950241
Huyện Cần Giờ,x2 value,2.0,6,2,10.5653379,106.7519914
Huyện Cần Giờ,x3 value,2.0,6,2,10.5653379,106.7519914
